id,value,feed_id,created_at,lat,lon,ele
0EM0ZPCRSB836BPS73EQ2ENV5F,18.40,1518525,2020-12-16 18:08:43 UTC,,,
0EM0ZPDCBGRK2QP8BVAFQJTJ1Z,18.40,1518525,2020-12-16 18:08:45 UTC,,,
0EM0ZPE03WKDE89T45YKTZN35N,19.10,1518525,2020-12-16 18:08:47 UTC,,,
0EM0ZPEKRW3HJZYZB0HGDPTDRY,18.50,1518525,2020-12-16 18:08:49 UTC,,,
0EM0ZPF7D8YW3BXREVA041VS9F,18.40,1518525,2020-12-16 18:08:51 UTC,,,
0EM0ZPFV8Z1TTN8CSV6A1M366X,18.50,1518525,2020-12-16 18:08:53 UTC,,,
0EM0ZPGFD6N53MXJ8Z2PMRTABG,18.00,1518525,2020-12-16 18:08:55 UTC,,,
0EM0ZPH2PD4HKW9346DAHKDCEF,18.50,1518525,2020-12-16 18:08:57 UTC,,,
0EM0ZPJF7HA9YN2NRCEACWJJH5,18.50,1518525,2020-12-16 18:09:01 UTC,,,
0EM0ZPJF879MF2EECKN436GCSQ,18.70,1518525,2020-12-16 18:09:01 UTC,,,
0EM0ZPVN748F1SR3837GRB7B3M,18.60,1518525,2020-12-16 18:09:31 UTC,,,
0EM0ZPVN8348FR2R1RNRYDTT7N,18.60,1518525,2020-12-16 18:09:31 UTC,,,
0EM0ZPVNA630DR145NH5G5WGYD,18.50,1518525,2020-12-16 18:09:31 UTC,,,
0EM0ZPVNAAXJK2ZZQJPMK3HY6A,18.60,1518525,2020-12-16 18:09:31 UTC,,,
0EM0ZPVNABXRA70242FTDYH8FW,18.60,1518525,2020-12-16 18:09:31 UTC,,,
0EM0ZPVNAEN4S98B7EKNG5XGEF,18.60,1518525,2020-12-16 18:09:31 UTC,,,
0EM0ZPVNDNFAJ2W2PBKNK478ZN,18.60,1518525,2020-12-16 18:09:31 UTC,,,
0EM0ZPVNEW2JWEZPN097WNGGHR,18.60,1518525,2020-12-16 18:09:31 UTC,,,
0EM0ZPVQRR290SBQ3BJATAVF06,18.60,1518525,2020-12-16 18:09:32 UTC,,,
0EM0ZRDDFWHYMBPQXHZ2ZBHXAV,19.20,1518525,2020-12-16 18:12:14 UTC,,,
0EM0ZRE10J5JM448QMSC9A406Z,19.10,1518525,2020-12-16 18:12:16 UTC,,,
0EM0ZREMDPBPRQVZ5QND1NVJWK,19.20,1518525,2020-12-16 18:12:18 UTC,,,
0EM0ZRF88H7QWS5WAFTSH2PS5Y,19.20,1518525,2020-12-16 18:12:20 UTC,,,
0EM0ZRFVVZW9XMDYWMXYRKGG0B,19.30,1518525,2020-12-16 18:12:22 UTC,,,
0EM0ZRGFGGWXRNPY9N5D8X0KH3,19.20,1518525,2020-12-16 18:12:24 UTC,,,
0EM0ZRH386ZFC6YCBR3HAV8695,19.20,1518525,2020-12-16 18:12:26 UTC,,,
0EM0ZRHQA219TMAW0BTSM4MYYP,19.20,1518525,2020-12-16 18:12:29 UTC,,,
0EM0ZRJANFGQWPNPXT9FZSS2MZ,19.20,1518525,2020-12-16 18:12:31 UTC,,,
0EM0ZRJYFFMGJMY4XF17XE40F4,19.20,1518525,2020-12-16 18:12:33 UTC,,,
0EM0ZRKHYJ6GKE9V70QN4HYYPW,19.00,1518525,2020-12-16 18:12:35 UTC,,,
0EM0ZRM5RKZRAA0C58PKY57TAY,19.80,1518525,2020-12-16 18:12:37 UTC,,,
0EM0ZRMSDXSVFB87RAYK9DW47D,19.20,1518525,2020-12-16 18:12:39 UTC,,,
0EM0ZRND2EX54BS0PAHK364TK0,19.30,1518525,2020-12-16 18:12:41 UTC,,,
0EM0ZRPG9898P1S0VENF876FQ4,19.30,1518525,2020-12-16 18:12:44 UTC,,,
0EM0ZTM2777SA8Z76H7EMY9C97,21.40,1518525,2020-12-16 18:16:06 UTC,,,
0EM0ZV5ZBKQ7XFXAMTXE1C8SV1,20.60,1518525,2020-12-16 18:17:05 UTC,,,
0EM0ZV7T8XNEPB3DPN90GMB2QY,20.50,1518525,2020-12-16 18:17:11 UTC,,,
